log	date	opponent	opponent_rank	player_1	player_2	winner_id	deck_name	game_start_time	game_end_time	game_duration_mins	match_id
Player_20210322.log	20210322	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Company of Knights	2021-03-22 11:49:35.841024	2021-03-22 11:54:24.215661	4.80624395	b22cd943-8354-4bb2-b64d-6904bf8ef791
Player_20210322.log	20210322	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Company of Knights	2021-03-22 12:31:35.518481	2021-03-22 12:37:11.705211	5.60311215	99593be6-7edf-4f93-93a0-1f788d8d46e4
Player_20210322.log	20210322	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Company of Knights	2021-03-22 13:18:52.747059	2021-03-22 13:21:43.562514	2.84692425	3fd04c50-de54-47bf-a82d-a0ec6a6bc53d
Player_20210322.log	20210322	artintheforest	Platinum	artintheforest#69606	Enrico Suave#82067	artintheforest#69606	Company of Knights	2021-03-22 13:22:43.235055	2021-03-22 13:32:55.836018	10.21001605	eebf945c-9348-467c-94be-33cecc9eb127
Player_20210322.log	20210322	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Zend Warriors (large)	2021-03-22 13:45:33.058104	2021-03-22 13:49:14.857851	3.69666245	7a7a8225-294d-45d2-9780-76e15d3b6c88
Player_20210322.log	20210322	BonusCheckz	Bronze	Enrico Suave#82067	BonusCheckz#85310	Enrico Suave#82067	Zend Warriors (large)	2021-03-22 13:50:14.367921	2021-03-22 14:13:06.985434	22.87695855	447a95f4-2096-4483-8c07-b38886a355d8
Player_20210322.log	20210322	As de Bastos	Gold	As de Bastos#83449	Enrico Suave#82067	As de Bastos#83449	Zend Warriors (large)	2021-03-22 14:16:05.623928	2021-03-22 14:21:10.598399	5.08290783333	9c3c02ad-b402-4a5d-8a0c-af8eaa7479a6
Player_20210322.log	20210322	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Zend Warriors (small)	2021-03-22 14:21:49.831113	2021-03-22 14:26:10.837461	4.35010578333	c9fd3751-9c77-422b-9274-b5b7962339d1
Player_20210322.log	20210322	Gustavo	Platinum	Enrico Suave#82067	Gustavo#39322	Gustavo#39322	Zend Warriors (small)	2021-03-22 14:28:56.976783	2021-03-22 14:38:45.069939	9.8015526	ec8de54b-56ce-4ead-a89a-a3d7c3b4d510
Player_20210322.log	20210322	Sparky	Beginner	Enrico Suave#82067	Sparky	Sparky	Zend Warriors (small)	2021-03-22 14:40:22.845087	2021-03-22 14:44:28.076433	4.0871891	29b0b842-b558-4410-a0ab-c2ba61c835b2
Player_20210322.log	20210322	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Zend Warriors (small)	2021-03-22 14:46:18.432723	2021-03-22 14:50:09.260803	3.84713466667	bd058aca-6aa5-4e6b-a470-ff91915bd12d
Player_20210322.log	20210322	EvioNoah	Gold	EvioNoah#03064	Enrico Suave#82067	Enrico Suave#82067	Zend Warriors (small)	2021-03-22 14:50:57.139523	2021-03-22 14:54:02.053974	3.0819075	746d31d2-9bf4-4c66-9199-bf833db303a0
Player_20210322.log	20210322	Rikma	Bronze	Enrico Suave#82067	Rikma#51247	Rikma#51247	Zend Warriors (small)	2021-03-22 14:56:27.422948	2021-03-22 15:05:44.570483	9.28579225	6873929a-26e8-4924-8eef-674c8ab64091
Player_20210322.log	20210322	Bertram_X	Silver	Enrico Suave#82067	Bertram_X#20492	Bertram_X#20492	Zend Warriors (small)	2021-03-22 15:07:27.820268	2021-03-22 15:13:02.135566	5.57192163333	215b0684-9797-45f4-a20e-41b6a1abe2a2
Player_20210322.log	20210322	MiguelVRuivo	Bronze	Enrico Suave#82067	MiguelVRuivo#30037	MiguelVRuivo#30037	Zend Warriors (small)	2021-03-22 15:13:58.137165	2021-03-22 15:29:43.890740	15.7625595667	7c87c0c8-fb32-4d63-abbc-4c8cce059ce7
Player_20210322.log	20210322	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Company of Knights	2021-03-22 15:30:32.954231	2021-03-22 15:33:18.461466	2.7584539	69b2b71a-ba73-41e6-839d-bec6912a89b7
Player_20210322.log	20210322	MAssife	Platinum	MAssife#30867	Enrico Suave#82067	Enrico Suave#82067	Company of Knights	2021-03-22 15:34:18.990225	2021-03-22 15:37:28.462359	3.1578689	17d26670-1de3-439a-a9d3-0ef005c61e81
Player_20210323.log	20210323	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Keep the Peace	2021-03-23 13:34:52.685775	2021-03-23 13:40:38.185887	5.7583352	c142c576-15bf-4fe7-a440-7faa8d2c67ea
Player_20210323.log	20210323	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Keep the Peace	2021-03-23 14:16:43.117717	2021-03-23 14:20:49.981824	4.11440176667	0aae610f-24e6-4392-8716-fab426074f33
Player_20210323.log	20210323	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Keep the Peace	2021-03-23 14:50:19.550143	2021-03-23 14:53:27.201833	3.12752816667	94e06b9d-a90d-42f9-bcfb-b44aafa5cccf
Player_20210323.log	20210323	Agent_Tuber	Diamond	Agent_Tuber#41797	Enrico Suave#82067	Agent_Tuber#41797	Keep the Peace	2021-03-23 15:01:21.465969	2021-03-23 15:14:01.767977	12.6717001167	410ecd4f-b23c-4626-a459-4558951f93db
Player_20210323.log	20210323	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	zend large	2021-03-23 15:15:04.735998	2021-03-23 15:21:42.050214	6.6219036	53333d9f-3e33-44c0-8826-3b6e9466405d
Player_20210323.log	20210323	Spineshank2448	Bronze	Enrico Suave#82067	Spineshank2448#89420	Spineshank2448#89420	zend large	2021-03-23 15:38:53.250582	2021-03-23 15:47:44.999829	8.86248743333	6c6f8e37-c809-44a9-9cfb-c94db9bfd99f
Player_20210323.log	20210323	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	zend large	2021-03-23 15:49:34.752837	2021-03-23 15:53:35.971044	4.02030345	500da138-f7ec-4131-a675-33e95aa2b5cd
Player_20210323.log	20210323	E.B.	Platinum	Enrico Suave#82067	E.B.#70304	E.B.#70304	zend large	2021-03-23 16:20:15.157077	2021-03-23 16:29:34.702447	9.32575615	d594c1ff-81c7-44ae-9e79-8f33605dbd64
Player_20210323.log	20210323	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	zend small	2021-03-23 16:30:48.192117	2021-03-23 16:38:29.936661	7.6957424	399f36a1-a84a-4dbe-9242-1e518d8deab0
Player_20210323.log	20210323	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	zend small	2021-03-23 16:45:50.312281	2021-03-23 16:48:00.541163	2.17048135	d8b79daf-5f07-48dc-af89-664c0aa3ff74
Player_20210323.log	20210323	Werfder4112	Bronze	Werfder4112#96964	Enrico Suave#82067	Enrico Suave#82067	zend small	2021-03-23 16:49:36.532464	2021-03-23 16:54:25.976508	4.8240674	9017a701-27a2-443d-85a2-d5cf0e207c58
Player_20210323.log	20210323	Greckel	Platinum	Greckel#05657	Enrico Suave#82067	Enrico Suave#82067	zend small	2021-03-23 16:55:16.737579	2021-03-23 17:01:29.029946	6.20487276667	ba99667d-9c12-46a1-a235-d55d39aa6a1e
Player_20210323.log	20210323	SerSmashington	Bronze	Enrico Suave#82067	SerSmashington#51402	SerSmashington#51402	zend small	2021-03-23 17:03:07.074299	2021-03-23 17:10:22.166650	7.25153918333	3c27f7b7-e3c5-4288-82d7-98dc168c86ba
Player_20210323.log	20210323	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	zend small	2021-03-23 17:14:11.376636	2021-03-23 17:20:09.370967	5.96657218333	0a9f95ee-f8d3-4010-a061-33802ffcfc53
Player_20210323.log	20210323	Estorik	Silver	Enrico Suave#82067	Estorik#58151	Estorik#58151	zend small	2021-03-23 17:26:28.250304	2021-03-23 17:36:32.101660	10.06418925	c18847f3-14b7-4fc3-80a9-37017eb900de
Player_20210323.log	20210323	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	big white ikoria	2021-03-23 17:41:01.787125	2021-03-23 17:46:59.916250	5.96881875	a39c2166-2488-488c-a0f0-dc811529916b
Player_20210323.log	20210323	Dirge	Gold	Enrico Suave#82067	Dirge#66099	Dirge#66099	big white ikoria	2021-03-23 17:50:39.301528	2021-03-23 17:56:46.740180	6.12397753333	a4a7ed6d-fdbc-47f1-993d-a1ca674ceeca
Player_20210323.log	20210323	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	big white ikoria	2021-03-23 18:00:10.252398	2021-03-23 18:06:35.173306	6.41534846667	f6b9da50-518b-4705-9db0-d7b7662904b7
Player_20210323.log	20210323	Xekien'ce	Silver	Enrico Suave#82067	Xekien'ce#43775	Xekien'ce#43775	big white ikoria	2021-03-23 18:07:40.202715	2021-03-23 18:12:17.214963	4.61687078333	c801b3b3-9a49-4392-b86b-994863317824
Player_20210323.log	20210323	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	small white ikoria	2021-03-23 18:13:34.151105	2021-03-23 18:22:14.936401	8.67975491667	cc73bfe9-a3ea-48d9-8038-fe6169a7ccb7
Player_20210323.log	20210323	Mattymo	Platinum	Mattymo#12226	Enrico Suave#82067	Mattymo#12226	small white ikoria	2021-03-23 18:25:20.878970	2021-03-23 18:32:58.883068	7.63340163333	618daacb-1cc2-4b69-8b9b-027f5ac0d1a7
Player_20210323.log	20210323	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	big white theros	2021-03-23 18:37:14.965049	2021-03-23 18:42:20.512373	5.09245538333	75fabb9d-7960-4367-9d3d-9a2644ee6ee1
Player_20210323.log	20210323	Elmori	Bronze	Enrico Suave#82067	Elmori#29579	Elmori#29579	big white theros	2021-03-23 18:43:52.769602	2021-03-23 18:51:01.231288	7.1410281	9b7c941d-f6dd-4188-8e01-77ce0cd489e4
Player_20210323.log	20210323	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	big white theros	2021-03-23 18:54:20.542165	2021-03-23 18:58:54.233676	4.56152516667	1f70664c-94f4-4bb8-a6d8-17ec185cd8ae
Player_20210323.log	20210323	Jvlix	Gold	Enrico Suave#82067	Jvlix#50593	Enrico Suave#82067	big white theros	2021-03-23 19:00:22.748189	2021-03-23 19:11:33.116316	11.1728021167	cf600e79-fc5d-4680-941f-7417fbbc3f24
Player_20210323.log	20210323	worfey	Bronze	worfey#08882	Enrico Suave#82067	worfey#08882	big white theros	2021-03-23 19:17:43.607457	2021-03-23 19:24:20.758975	6.61919196667	ae823076-bc1b-4e48-a847-e13abbcca645
Player_20210323.log	20210323	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	big white theros	2021-03-23 19:29:24.077901	2021-03-23 19:36:31.078245	7.11667238333	d3089da3-636f-4fec-8a17-7f7f846eda37
Player_20210323.log	20210323	PaulBrawl7	Gold	Enrico Suave#82067	PaulBrawl7#47178	PaulBrawl7#47178	big white theros	2021-03-23 19:40:54.735630	2021-03-23 20:06:37.462060	25.7121071667	a27575b9-3db1-4f7b-a275-8192c42b20fb
Player_20210323.log	20210323	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	big white theros	2021-03-23 20:10:54.610254	2021-03-23 20:16:15.073506	5.34105418333	1120575f-9eab-48da-89dc-f23cfff7b595
Player_20210323.log	20210323	flame hark	Silver	Enrico Suave#82067	flame hark#39764	Enrico Suave#82067	big white theros	2021-03-23 20:17:46.788991	2021-03-23 20:22:53.372298	5.10972176667	5adf5bf6-3536-482d-8227-1d40849273aa
Player_20210324.log	20210324	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Life Skills	2021-03-24 13:30:24.612876	2021-03-24 13:35:52.430737	5.463631	f11330be-5fe1-4064-baa2-e095110bfd8d
Player_20210324.log	20210324	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Life Skills	2021-03-24 13:59:53.805970	2021-03-24 14:05:08.916985	5.25185023333	2cabeb92-18ad-4f26-a1d3-1bbd93d4d320
Player_20210324.log	20210324	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Life Skills	2021-03-24 14:41:33.289299	2021-03-24 14:46:48.113341	5.24706735	84c9c857-f3c9-42b2-a8da-e0a8ed54ae0a
Player_20210324.log	20210324	Pro_senda	Bronze	Enrico Suave#82067	Pro_senda#70884	Pro_senda#70884	Life Skills	2021-03-24 14:48:10.989742	2021-03-24 14:58:52.756797	10.6961175667	a33c9cef-3b35-4505-88de-6b60ebc98f22
Player_20210324.log	20210324	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Vamps Zend (large)	2021-03-24 14:59:45.368994	2021-03-24 15:07:30.481643	7.75187748333	5f1590e3-9314-4ea4-9572-0b8e300048be
Player_20210324.log	20210324	Vincent	Gold	Enrico Suave#82067	Vincent#56074	Enrico Suave#82067	Vamps Zend (large)	2021-03-24 15:08:31.858678	2021-03-24 15:12:54.713359	4.38091135	94f38b60-b1cc-40ae-9417-17b1a5d1c4c6
Player_20210324.log	20210324	CardsAndJunk	Bronze	Enrico Suave#82067	CardsAndJunk#12704	Enrico Suave#82067	Vamps Zend (large)	2021-03-24 15:13:52.426612	2021-03-24 15:15:10.118123	1.2948585	b6512387-881f-40c8-84b7-26f41ac978e1
Player_20210324.log	20210324	Deserventes	Silver	Enrico Suave#82067	Deserventes#11373	Enrico Suave#82067	Vamps Zend (large)	2021-03-24 15:16:02.232345	2021-03-24 15:20:48.053559	4.7636869	33454d7b-4827-43f2-bdd2-c7ad84533fef
Player_20210325.log	20210325	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Goblins Everywhere!	2021-03-25 13:03:38.161552	2021-03-25 13:08:57.635222	5.32456116667	6cffa68d-7c63-437d-b056-be2e714637ef
Player_20210325.log	20210325	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Goblins Everywhere!	2021-03-25 13:48:33.093599	2021-03-25 13:54:00.320742	5.45378571667	3352ad5b-676e-47a5-93c0-b3cea1847ba5
Player_20210325.log	20210325	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Goblins Everywhere!	2021-03-25 14:18:35.384811	2021-03-25 14:23:06.437695	4.51754806667	d63e965b-ccfd-4d4c-a07e-c7a17c5ab441
Player_20210325.log	20210325	DrMarcII	Bronze	Enrico Suave#82067	DrMarcII#76175	Enrico Suave#82067	Goblins Everywhere!	2021-03-25 14:26:24.922082	2021-03-25 14:28:41.079381	2.2692883	dc81bb77-f5ea-49c4-8e93-2074df589250
Player_20210325.log	20210325	VirriClone	Bronze	Enrico Suave#82067	VirriClone#70726	VirriClone#70726	Goblins Everywhere!	2021-03-25 14:29:35.124165	2021-03-25 14:35:22.771200	5.79411723333	3f26defc-1dab-45ad-a5de-ca7d234d4e56
Player_20210325.log	20210325	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Big Zend Warriors	2021-03-25 14:36:07.515578	2021-03-25 14:39:48.982039	3.69110768333	855bc47a-70d3-4cae-9d0e-52cb88aa236c
Player_20210325.log	20210325	Mat	Bronze	Mat#98994	Enrico Suave#82067	Mat#98994	Big Zend Warriors	2021-03-25 14:56:56.481168	2021-03-25 15:03:58.693427	7.03687096667	96383d1d-c430-4cad-b0d0-1831443cb10b
Player_20210325.log	20210325	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	zend gobs (small)	2021-03-25 15:13:33.264638	2021-03-25 15:19:09.406129	5.60235818333	9dfd3f49-089c-4514-ad7d-b621a5ef2f40
Player_20210325.log	20210325	Mortimir	Bronze	Mortimir#78276	Enrico Suave#82067	Enrico Suave#82067	zend gobs (small)	2021-03-25 15:25:48.428365	2021-03-25 15:39:14.086636	13.42763785	0a755a02-0d83-439c-a036-2d572345dd03
Player_20210325.log	20210325	Zengir	Bronze	Enrico Suave#82067	Zengir#18157	Enrico Suave#82067	zend gobs (small)	2021-03-25 15:51:08.741816	2021-03-25 16:04:31.019789	13.3712995333	fa26ac8b-327d-4824-a6e0-4347fcde7595
Player_20210325.log	20210325	Jigred	Bronze	Enrico Suave#82067	Jigred#45639	Jigred#45639	zend gobs (small)	2021-03-25 16:14:59.832990	2021-03-25 16:23:21.587408	8.36257361667	4f98df2b-719a-447c-8047-09ae9e607636
Player_20210325.log	20210325	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	zend gobs (small)	2021-03-25 16:24:45.331944	2021-03-25 16:33:29.631814	8.73833116667	cd09b7de-e21a-45c7-b371-f30c99176a63
Player_20210325.log	20210325	たろー	Bronze	Enrico Suave#82067	たろー#65516	たろー#65516	zend gobs (small)	2021-03-25 16:39:50.892186	2021-03-25 16:49:30.797292	9.66508508333	b11e7d6f-da8f-4a27-8bb1-93a9ca0dde29
Player_20210325.log	20210325	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	r ikoria	2021-03-25 16:51:35.551337	2021-03-25 16:55:59.222392	4.39451756667	5c1afb0e-403b-47ce-a698-bbd1c375f6af
Player_20210325.log	20210325	Sir Ridginald	Bronze	Sir Ridginald#44805	Enrico Suave#82067	Enrico Suave#82067	r ikoria	2021-03-25 17:05:12.752273	2021-03-25 17:12:34.102804	7.35584216667	629d0807-f0d7-4ce7-af0f-489ac3682d6d
Player_20210326a.log	20210326	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Company of Knights	2021-03-26 12:54:37.465187	2021-03-26 12:59:40.813061	5.0557979	cfd0ef95-83d2-4a46-a0ec-f1482b6d6c62
Player_20210326a.log	20210326	Sparky	Beginner	Enrico Suave#82067	Sparky	Enrico Suave#82067	Company of Knights	2021-03-26 13:27:58.989084	2021-03-26 13:32:13.659824	4.24451231667	3deb87d0-b4c0-447d-b8c6-639e912fc761
