deck	deck_or_side	count	set_code	name	num
aggro_vampires.txt	Deck	4	M20	Knight of the Ebon Legion	105
aggro_vampires.txt	Deck	4	M20	Vampire of the Dire Moon	120
aggro_vampires.txt	Deck	4	GRN	Child of Night	65
aggro_vampires.txt	Deck	3	M21	Vito, Thorn of the Dusk Rose	127
aggro_vampires.txt	Deck	2	M20	Dark Remedy	321
aggro_vampires.txt	Deck	2	M20	Blood Burglar	88
aggro_vampires.txt	Deck	3	M20	Sorin's Thirst	325
aggro_vampires.txt	Deck	3	M20	Thirsting Bloodlord	293
aggro_vampires.txt	Deck	3	M20	Bloodthirsty Aerialist	91
aggro_vampires.txt	Deck	3	M20	Disfigure	95
aggro_vampires.txt	Deck	3	M20	Murder	109
aggro_vampires.txt	Deck	2	M20	Bone Splinters	92
aggro_vampires.txt	Deck	22	M20	Swamp	269
aggro_vampires.txt	Deck	2	RNA	The Haunt of Hightower	273
