deck	deck_or_side	count	set_code	name	num
big_vampires.txt	Deck	3	M20	Knight of the Ebon Legion	105
big_vampires.txt	Deck	3	M20	Vampire of the Dire Moon	120
big_vampires.txt	Deck	2	GRN	Child of Night	65
big_vampires.txt	Deck	2	M21	Vito, Thorn of the Dusk Rose	127
big_vampires.txt	Deck	2	M20	Dark Remedy	321
big_vampires.txt	Deck	3	M20	Sorin's Thirst	325
big_vampires.txt	Deck	2	M20	Thirsting Bloodlord	293
big_vampires.txt	Deck	3	M20	Bloodthirsty Aerialist	91
big_vampires.txt	Deck	3	M20	Disfigure	95
big_vampires.txt	Deck	3	M20	Murder	109
big_vampires.txt	Deck	2	M20	Bone Splinters	92
big_vampires.txt	Deck	24	M20	Swamp	269
big_vampires.txt	Deck	3	RNA	The Haunt of Hightower	273
big_vampires.txt	Deck	2	RNA	Vindictive Vampire	90
big_vampires.txt	Deck	3	M20	Gravewaker	323
