deck	deck_or_side	count	set_code	name	num
black_zombies.txt	Deck	2	WAR	Dreadmalkin	87
black_zombies.txt	Deck	2	WAR	Vizier of the Scorpion	111
black_zombies.txt	Deck	25	RIX	Swamp	194
black_zombies.txt	Deck	4	WAR	Lazotep Reaver	96
black_zombies.txt	Deck	2	WAR	Eternal Taskmaster	90
black_zombies.txt	Deck	3	WAR	Shriekdiver	103
black_zombies.txt	Deck	2	WAR	Bleeding Edge	78
black_zombies.txt	Deck	4	WAR	Herald of the Dreadhorde	93
black_zombies.txt	Deck	2	WAR	Lazotep Behemoth	95
black_zombies.txt	Deck	2	RNA	Dead Revels	71
black_zombies.txt	Deck	2	WAR	Bolas's Citadel	79
black_zombies.txt	Deck	1	RNA	Awaken the Erstwhile	61
black_zombies.txt	Deck	2	M20	Bone Splinters	92
black_zombies.txt	Deck	3	M19	Murder	110
black_zombies.txt	Deck	1	WAR	God-Eternal Bontu	92
black_zombies.txt	Deck	2	WAR	Spark Reaper	106
black_zombies.txt	Deck	1	WAR	Bond of Revival	80
