deck	deck_or_side	count	set_code	name	num
cult_of_rakdos.txt	Deck	1	RNA	Bedeck // Bedazzle	221
cult_of_rakdos.txt	Deck	1	RNA	Spawn of Mayhem	85
cult_of_rakdos.txt	Deck	2	RNA	Carnival // Carnage	222
cult_of_rakdos.txt	Deck	1	RNA	Bedevil	157
cult_of_rakdos.txt	Deck	2	RNA	Cult Guildmage	164
cult_of_rakdos.txt	Deck	2	RNA	Blade Juggler	63
cult_of_rakdos.txt	Deck	3	RNA	Skewer the Critics	115
cult_of_rakdos.txt	Deck	2	RNA	Light Up the Stage	107
cult_of_rakdos.txt	Deck	3	RNA	Footlight Fiend	216
cult_of_rakdos.txt	Deck	2	RNA	Get the Point	176
cult_of_rakdos.txt	Deck	2	RNA	Rakdos Firewheeler	197
cult_of_rakdos.txt	Deck	3	RNA	Hackrobat	181
cult_of_rakdos.txt	Deck	1	RNA	Judith, the Scourge Diva	185
cult_of_rakdos.txt	Deck	1	WAR	Mayhem Devil	204
cult_of_rakdos.txt	Deck	2	RNA	Rakdos Roustabout	198
cult_of_rakdos.txt	Deck	2	RNA	Spear Spewer	117
cult_of_rakdos.txt	Deck	1	RNA	Theater of Horrors	213
cult_of_rakdos.txt	Deck	3	M20	Shock	160
cult_of_rakdos.txt	Deck	1	WAR	Dreadhorde Butcher	194
cult_of_rakdos.txt	Deck	1	RNA	Blood Crypt	245
cult_of_rakdos.txt	Deck	4	RNA	Rakdos Guildgate	255
cult_of_rakdos.txt	Deck	10	RNA	Swamp	262
cult_of_rakdos.txt	Deck	10	RNA	Mountain	263
