deck	deck_or_side	count	set_code	name	num
extra_gruul.txt	Deck	2	RNA	Sunder Shaman	210
extra_gruul.txt	Deck	2	RNA	Thrash // Threat	229
extra_gruul.txt	Deck	2	WAR	Rubblebelt Rioters	215
extra_gruul.txt	Deck	2	RNA	Rhythm of the Wild	201
extra_gruul.txt	Deck	1	WAR	Living Twister	203
extra_gruul.txt	Deck	1	WAR	Ilharg, the Raze-Boar	133
extra_gruul.txt	Deck	2	RNA	Collision // Colossus	223
extra_gruul.txt	Deck	1	RNA	Frenzied Arynx	173
extra_gruul.txt	Deck	2	RNA	Gruul Spellbreaker	179
extra_gruul.txt	Deck	3	RNA	Zhur-Taa Goblin	215
extra_gruul.txt	Deck	1	GRN	Pelt Collector	141
extra_gruul.txt	Deck	3	RNA	Clan Guildmage	162
extra_gruul.txt	Deck	2	RNA	Clamor Shaman	96
extra_gruul.txt	Deck	2	RNA	Burning-Tree Vandal	94
extra_gruul.txt	Deck	3	WAR	Giant Growth	162
extra_gruul.txt	Deck	2	RNA	Stomping Ground	259
extra_gruul.txt	Deck	9	RNA	Mountain	263
extra_gruul.txt	Deck	9	RNA	Forest	264
extra_gruul.txt	Deck	2	WAR	Domri's Ambush	192
extra_gruul.txt	Deck	1	ELD	Scorching Dragonfire	139
extra_gruul.txt	Deck	1	RNA	Skarrgan Hellkite	114
extra_gruul.txt	Deck	1	M20	Voracious Hydra	200
extra_gruul.txt	Deck	4	M20	Rugged Highlands	250
extra_gruul.txt	Deck	1	M21	Elder Gargaroth	179
extra_gruul.txt	Deck	1	M21	Terror of the Peaks	164
