deck	deck_or_side	count	set_code	name	num
final_adventure.txt	Deck	1	GRN	Vraska, Golgari Queen	213
final_adventure.txt	Deck	2	ELD	Blacklance Paragon	79
final_adventure.txt	Deck	2	M20	Knight of the Ebon Legion	105
final_adventure.txt	Deck	4	ELD	Lovestruck Beast	165
final_adventure.txt	Deck	2	GRN	Midnight Reaper	77
final_adventure.txt	Deck	2	ELD	Murderous Rider	97
final_adventure.txt	Deck	4	ELD	Edgewall Innkeeper	151
final_adventure.txt	Deck	4	ELD	Foulmire Knight	90
final_adventure.txt	Deck	4	ELD	Order of Midnight	99
final_adventure.txt	Deck	4	ELD	Smitten Swordmaster	105
final_adventure.txt	Deck	2	GRN	Find // Finality	225
final_adventure.txt	Deck	2	M20	Disfigure	95
final_adventure.txt	Deck	4	ELD	Lucky Clover	226
final_adventure.txt	Deck	2	ELD	Castle Locthwain	241
final_adventure.txt	Deck	1	M21	Fabled Passage	246
final_adventure.txt	Deck	2	M21	Temple of Malady	253
final_adventure.txt	Deck	3	M21	Jungle Hollow	247
final_adventure.txt	Sideboard	2	WAR	Massacre Girl	99
final_adventure.txt	Sideboard	1	THB	Cling to Dust	87
final_adventure.txt	Sideboard	4	M21	Duress	96
final_adventure.txt	Sideboard	2	GRN	Kraul Harpooner	136
final_adventure.txt	Sideboard	4	M20	Noxious Grasp	110
final_adventure.txt	Sideboard	2	M21	Thrashing Brontodon	209
