subtype	AKH	HOU	XLN	RIX	DOM	M19	GRN	RNA	WAR	M20	ELD	THB	IKO	M21	ZNR	KHM	STX	total
Advisor								2	1	1		2					2	8
Ajani						2			1	2								5
Angel	3	2			4	4	2	3	2	7				1	5	13		46
Angrath				2					1									3
Antelope	1						1						1					3
Ape					1					1			2					4
Archer	2	3	1		2	2				1	2	1		2				16
Archon											2	2			1			5
Arlinn									1									1
Artificer					6	7				2	1	1						17
Ashiok									1			2						3
Assassin						1	5		3				1	1				11
Assembly-Worker					1													1
Aura	13	6	6	9	8	13	7	4	3	12	7	23	7	10	4	14	1	147
Avatar			4		4				1								1	10
Basilisk						1												1
Basri														2				2
Bat	1		1				1			1			1		1		1	7
Bear						1			1				1			1	1	5
Beast	3	3	1	1	1	3	4	9	5	2	2	3	20	3	10		3	73
Berserker						1		2	1	3	1	2				26		36
Bird	8	6			6	3	2	2	4	8	2	2	6	2	1	4	8	64
Boar						1	1	3	1	1		1	1	1	1			11
Bolas		2							1									3
Brushwagg													1					1
Calix												1						1
Camel	2	2																4
Cartouche	5																	5
Cat	7	3			1	5	1	4	4	4	3	3	18	6	4	1	1	65
Centaur					1	1	3	1	1	2		5		2				16
Chandra					1				1	4				2				8
Chimera		1										5						6
Cleric	14	10	9	3	7	5	6	7		9		6	3	10	22	19	17	147
Construct					6	1	1	1		2	3			1	1		2	18
Coward																1		1
Crab	1						1	4		1			1	1	2			11
Crocodile	3	2						2	1	1					1		2	12
Curse	2	3																5
Cyclops					1		2		2			2		1				8
Davriel									1									1
Demigod												5						5
Demon	3	3			1	1	1	3		2		3	1	1	2	6	2	29
Desert	4	15																19
Devil						1		1	2					3				7
Dinosaur			38	32	1	3			1	5			16	4				100
Djinn					2	1											3	6
Dog			1		1			1	2	1		2		8	1		2	19
Domri								2	1									3
Dovin								2	1									3
Dragon	1				2	13	2	1	1	5	4	1	1	3	1	2	5	42
Drake	3	1			1	2	2	2	2	2				1			1	17
Druid	4	3	2	1	5	6	2	2	4	3	4	2	3	4			15	60
Dryad			2	1		1	2	1				1		1			1	10
Dwarf						2				1	3			1		12	5	24
Efreet																	1	1
Egg						1							1					2
