set	subtype	count
AKH	Mountain	3
AKH	Swamp	3
AKH	Curse	2
AKH	Nissa	1
AKH	God	5
AKH	Wizard	7
AKH	Plains	3
AKH	Forest	3
AKH	Crab	1
AKH	Gideon	2
AKH	Bird	8
AKH	Warrior	30
AKH	Cleric	14
AKH	Horror	2
AKH	Druid	4
AKH	Illusion	1
AKH	Beast	3
AKH	Insect	3
AKH	Rogue	2
AKH	Snake	2
AKH	Manticore	2
AKH	Dragon	1
AKH	Desert	4
AKH	Zombie	15
AKH	Bat	1
AKH	Scorpion	2
AKH	Sphinx	2
AKH	Hippo	1
AKH	Equipment	1
AKH	Island	3
AKH	Drake	3
AKH	Cat	7
AKH	Hyena	1
AKH	Soldier	2
AKH	Lizard	2
AKH	Archer	2
AKH	Aura	13
AKH	Wurm	1
AKH	Cartouche	5
AKH	Antelope	1
AKH	Angel	3
AKH	Serpent	2
AKH	Camel	2
AKH	Shapeshifter	1
AKH	Liliana	2
AKH	Demon	3
AKH	Spider	1
AKH	Crocodile	3
AKH	Human	30
AKH	Naga	9
AKH	Jackal	10
AKH	Hydra	1
AKH	Minotaur	9
HOU	Mountain	1
HOU	Horse	1
HOU	Curse	3
HOU	Golem	1
HOU	God	3
HOU	Wizard	10
HOU	Elemental	4
HOU	Equipment	1
HOU	Forest	1
HOU	Sphinx	2
HOU	Bolas	2
HOU	Bird	6
HOU	Warrior	20
HOU	Cleric	10
HOU	Horror	4
HOU	Druid	3
HOU	Zombie	19
HOU	Insect	2
HOU	Nissa	1
HOU	Snake	1
HOU	Manticore	1
HOU	Desert	15
HOU	Samut	1
HOU	Hydra	1
HOU	Hellion	1
HOU	Hippo	1
HOU	Island	1
HOU	Drake	1
HOU	Cat	3
HOU	Swamp	1
HOU	Lizard	2
HOU	Archer	3
HOU	Aura	6
HOU	Wurm	1
HOU	Serpent	1
HOU	Angel	2
HOU	Plains	1
HOU	Wall	2
HOU	Camel	2
HOU	Demon	3
HOU	Spider	1
HOU	Crocodile	2
HOU	Rat	1
HOU	Beast	3
HOU	Chimera	1
HOU	Human	18
HOU	Naga	10
HOU	Jackal	8
HOU	Minotaur	6
XLN	Mountain	1
XLN	Siren	3
XLN	Vraska	1
XLN	Golem	1
XLN	Wizard	9
XLN	Vampire	20
XLN	Elemental	3
XLN	Plains	1
XLN	Huatli	2
XLN	Vehicle	5
XLN	Imp	1
XLN	Pirate	39
XLN	Merfolk	21
XLN	Cleric	9
XLN	Forest	1
XLN	Trilobite	1
XLN	Rogue	1
XLN	Horror	1
XLN	Druid	2
XLN	Beast	1
XLN	Insect	1
XLN	Scout	6
XLN	Island	1
XLN	Shaman	10
XLN	Jace	2
XLN	Orc	6
XLN	Bat	1
XLN	Warrior	6
XLN	Equipment	4
XLN	Knight	8
XLN	Dog	1
XLN	Soldier	9
XLN	Archer	1
XLN	Avatar	4
XLN	Dryad	2
XLN	Swamp	1
XLN	Goblin	4
XLN	Dinosaur	38
XLN	Fish	1
XLN	Human	43
XLN	Aura	6
RIX	Golem	2
RIX	Siren	1
RIX	Vraska	1
RIX	Mountain	1
RIX	Wizard	4
RIX	Vampire	20
RIX	Elemental	2
RIX	Plains	1
RIX	Huatli	1
RIX	Pirate	28
RIX	Merfolk	17
RIX	Cleric	3
RIX	Phoenix	1
RIX	Horror	1
RIX	Druid	1
RIX	Beast	1
RIX	Wall	1
RIX	Scout	3
RIX	Snake	1
RIX	Knight	9
RIX	Shaman	6
RIX	Goblin	3
RIX	Orc	3
RIX	Sphinx	1
RIX	Warrior	7
RIX	Equipment	2
RIX	Island	1
RIX	Harpy	1
RIX	Soldier	11
RIX	Horse	1
RIX	Aura	9
RIX	Dryad	1
RIX	Swamp	1
RIX	Dinosaur	32
RIX	Shapeshifter	1
RIX	Lizard	1
RIX	Spirit	1
RIX	Elder	6
RIX	Griffin	1
RIX	Human	27
RIX	Angrath	2
RIX	Forest	1
DOM	Golem	3
DOM	Giant	1
DOM	Djinn	2
DOM	Island	1
DOM	Mountain	1
DOM	Wizard	15
DOM	Elf	8
DOM	Vampire	2
DOM	Elemental	7
DOM	Fungus	6
DOM	Equipment	7
DOM	Teferi	2
DOM	Forest	1
DOM	Juggernaut	1
DOM	Vehicle	1
DOM	Bird	6
DOM	Homarid	1
DOM	Merfolk	4
DOM	Cleric	7
DOM	Swamp	1
DOM	Phoenix	1
DOM	Scout	3
DOM	Centaur	1
DOM	Druid	5
DOM	Beast	1
DOM	Wall	1
DOM	Dragon	2
DOM	Rogue	2
DOM	Aura	8
DOM	Unicorn	1
DOM	Shaman	1
DOM	Goblin	6
DOM	Spirit	3
DOM	Zombie	1
DOM	Sphinx	1
DOM	Artificer	6
DOM	Warrior	16
DOM	Knight	13
DOM	Dog	1
DOM	Drake	1
DOM	Cat	1
DOM	Soldier	4
DOM	Dinosaur	1
DOM	Archer	2
DOM	Chandra	1
DOM	Construct	6
DOM	Shade	1
DOM	Thrull	1
DOM	Kavu	1
DOM	Wurm	1
DOM	Turtle	1
DOM	Pegasus	1
DOM	Ooze	1
DOM	Assembly-Worker	1
DOM	Skeleton	1
DOM	Angel	4
DOM	Plains	1
DOM	Saga	14
DOM	Jaya	1
DOM	Demon	1
DOM	Spider	1
DOM	Ape	1
DOM	Orc	1
DOM	Elder	1
DOM	Rat	1
DOM	Leviathan	1
DOM	Human	45
DOM	Elephant	1
DOM	Cyclops	1
DOM	Minotaur	1
DOM	Karn	1
DOM	Specter	1
DOM	Frog	1
DOM	Avatar	4
M19	Griffin	1
M19	Mountain	1
M19	Horse	6
M19	Hydra	1
M19	Elephant	2
M19	Scarecrow	1
M19	Bird	3
M19	Pegasus	1
M19	Basilisk	1
M19	Ajani	2
M19	Monk	1
M19	Drake	2
M19	Cat	5
M19	Wolf	2
M19	Djinn	1
M19	Dryad	1
M19	Assassin	1
M19	Skeleton	3
M19	Angel	4
M19	Shapeshifter	1
M19	Jackal	1
M19	Specter	1
M19	Sarkhan	2
M19	Golem	2
M19	Nightmare	2
M19	Rhino	1
M19	Equipment	3
M19	Warrior	13
M19	Dwarf	2
M19	Scout	3
M19	Horror	2
M19	Viashino	1
M19	Centaur	1
M19	Gorgon	1
M19	Soldier	10
M19	Archer	2
M19	Egg	1
M19	Gargoyle	1
M19	Ogre	2
M19	Swamp	1
M19	Fish	1
M19	Tezzeret	2
M19	Spider	1
M19	Elder	5
M19	Hellion	1
M19	Elk	2
M19	Giant	1
M19	Devil	1
M19	Elf	10
M19	Construct	1
M19	Satyr	1
M19	Forest	1
M19	Pirate	2
M19	Cleric	5
M19	Vivien	2
M19	Zombie	11
M19	Rogue	1
M19	Shaman	4
M19	Berserker	1
M19	Sphinx	3
M19	Artificer	7
M19	Thopter	1
M19	Wurm	1
M19	Aura	13
M19	Serpent	1
M19	Plains	1
M19	Wall	3
M19	Demon	1
M19	Boar	1
M19	Minotaur	1
M19	Wizard	11
M19	Vampire	6
M19	Elemental	5
M19	Noble	1
M19	Plant	1
M19	Druid	6
M19	Bear	1
M19	Beast	3
M19	Island	1
M19	Goblin	7
M19	Spirit	6
M19	Human	31
M19	Merfolk	3
M19	Knight	6
M19	Harpy	1
M19	Dinosaur	3
M19	Treefolk	1
M19	Dragon	13
M19	Liliana	2
GRN	Troll	1
GRN	Mountain	3
GRN	Giant	3
GRN	Vraska	2
GRN	Nightmare	2
GRN	Wizard	12
GRN	Elf	15
GRN	Vampire	5
GRN	Elemental	4
GRN	Druid	2
GRN	Plains	3
GRN	Faerie	2
GRN	Forest	3
GRN	Crab	1
GRN	Elephant	2
GRN	Gate	6
GRN	Cat	1
GRN	Imp	1
GRN	Bird	2
GRN	Warrior	10
GRN	Plant	2
GRN	Fungus	2
GRN	Phoenix	1
GRN	Rogue	5
GRN	Dragon	2
GRN	Centaur	3
GRN	Illusion	1
GRN	Zombie	8
GRN	Insect	7
GRN	Scout	3
GRN	Vedalken	2
GRN	Island	3
GRN	Shaman	8
GRN	Goblin	7
GRN	Spirit	2
GRN	Bat	1
GRN	Sphinx	2
GRN	Viashino	2
GRN	Equipment	1
GRN	Knight	9
GRN	Gorgon	1
GRN	Unicorn	1
GRN	Cleric	6
GRN	Drake	2
GRN	Wurm	3
GRN	Soldier	20
GRN	Lizard	1
GRN	Cyclops	2
GRN	Aura	7
GRN	Shade	1
GRN	Dryad	2
GRN	Assassin	5
GRN	Rhino	1
GRN	Gargoyle	1
GRN	Antelope	1
GRN	Skeleton	1
GRN	Angel	2
GRN	Swamp	3
GRN	Wall	4
GRN	Ral	2
GRN	Demon	1
GRN	Spider	2
GRN	Specter	1
GRN	Shapeshifter	1
GRN	Construct	1
GRN	Beast	4
GRN	Rat	1
GRN	Human	31
GRN	Boar	1
GRN	Horror	1
GRN	Frog	1
GRN	Minotaur	2
RNA	Sheep	1
RNA	Golem	1
RNA	Giant	3
RNA	Devil	1
RNA	Shade	1
RNA	Mountain	3
RNA	Centaur	1
RNA	Wizard	9
RNA	Elf	5
RNA	Vampire	5
RNA	Elemental	4
RNA	Rhino	1
RNA	Plains	3
RNA	Faerie	1
RNA	Forest	3
RNA	Crab	4
RNA	Elephant	1
RNA	Gate	6
RNA	Imp	1
RNA	Bird	2
RNA	Merfolk	4
RNA	Cleric	7
RNA	Troll	1
RNA	Scout	1
RNA	Dragon	1
RNA	Viashino	3
RNA	Druid	2
RNA	Salamander	1
RNA	Beast	9
RNA	Insect	1
RNA	Rogue	12
RNA	Snake	1
RNA	Aura	4
RNA	Advisor	2
RNA	Shaman	11
RNA	Berserker	2
RNA	Goblin	5
RNA	Spirit	5
RNA	Zombie	1
RNA	Sphinx	3
RNA	Warrior	14
RNA	Equipment	1
RNA	Island	3
RNA	Knight	4
RNA	Griffin	1
RNA	Dog	1
RNA	Drake	2
RNA	Cat	4
RNA	Vedalken	5
RNA	Kaya	1
RNA	Homunculus	3
RNA	Domri	2
RNA	Dryad	1
RNA	Wurm	1
RNA	Octopus	2
RNA	Skeleton	1
RNA	Turtle	1
RNA	Pegasus	1
RNA	Swamp	3
RNA	Mutant	4
RNA	Ogre	5
RNA	Angel	3
RNA	Soldier	7
RNA	Wall	1
RNA	Fish	1
RNA	Demon	3
RNA	Spider	1
RNA	Lizard	3
RNA	Crocodile	2
RNA	Construct	1
RNA	Shark	1
RNA	Human	34
RNA	Dovin	2
RNA	Boar	3
RNA	Thrull	2
RNA	Jellyfish	1
RNA	Hydra	1
RNA	Frog	3
RNA	Ooze	2
WAR	Griffin	1
WAR	Hydra	1
WAR	Elephant	1
WAR	Gate	3
WAR	Davriel	1
WAR	Bird	4
WAR	Hippo	1
WAR	Ashiok	1
WAR	Pegasus	1
WAR	Manticore	1
WAR	Island	1
WAR	Monk	1
WAR	Drake	2
WAR	Cat	4
WAR	Wolf	1
WAR	Domri	1
WAR	Assassin	3
WAR	Arlinn	1
WAR	Jace	2
WAR	Angel	2
WAR	Ral	1
WAR	Naga	1
WAR	Jackal	1
WAR	Forest	1
WAR	Golem	2
WAR	Ugin	1
WAR	Nightmare	3
WAR	Vehicle	3
WAR	Rhino	1
WAR	Plains	1
WAR	Faerie	1
WAR	Gideon	2
WAR	Warrior	14
WAR	Scout	1
WAR	Centaur	1
WAR	Illusion	3
WAR	Nissa	1
WAR	Teyo	1
WAR	Samut	1
WAR	Narset	1
WAR	Gorgon	1
WAR	Soldier	8
WAR	Weird	2
WAR	Mutant	3
WAR	Ogre	1
WAR	Dinosaur	1
WAR	Tezzeret	1
WAR	Spider	1
WAR	Crocodile	1
WAR	Hellion	1
WAR	Dovin	1
WAR	Angrath	1
WAR	Homunculus	1
WAR	Sorin	1
WAR	Mountain	1
WAR	Giant	2
WAR	Devil	2
WAR	Ajani	1
WAR	Kaya	1
WAR	Sarkhan	1
WAR	Bolas	1
WAR	Elf	5
WAR	Vivien	1
WAR	Zombie	25
WAR	Insect	1
WAR	Rogue	2
WAR	Nixilis	1
WAR	Berserker	1
WAR	Sphinx	1
WAR	Dragon	1
WAR	Leviathan	1
WAR	Chandra	1
WAR	Aura	3
WAR	Tibalt	1
WAR	Wall	1
WAR	Jaya	1
WAR	Kasmina	1
WAR	Boar	1
WAR	Minotaur	2
WAR	Troll	1
WAR	Vraska	1
WAR	God	5
WAR	Wizard	13
WAR	Vampire	2
WAR	Elemental	3
WAR	Saheeli	1
WAR	Teferi	1
WAR	Huatli	1
WAR	Plant	1
WAR	Druid	4
WAR	Bear	1
WAR	Beast	5
WAR	Yanggu	1
WAR	Advisor	1
WAR	Goblin	3
WAR	Spirit	3
WAR	Nahiri	1
WAR	Human	17
WAR	Merfolk	2
WAR	Knight	1
WAR	Dog	2
WAR	Swamp	1
WAR	Avatar	1
WAR	Wurm	1
WAR	Kiora	1
WAR	Liliana	1
WAR	Tamiyo	1
WAR	Cyclops	2
WAR	Karn	1
M20	Sorin	2
M20	Golem	4
M20	Griffin	3
M20	Vivien	2
M20	Island	1
M20	Mountain	1
M20	Ajani	2
M20	Centaur	2
M20	Nightmare	1
M20	Wizard	10
M20	Elf	6
M20	Giant	1
M20	Elemental	31
M20	Skeleton	2
M20	Hydra	2
M20	Faerie	2
M20	Forest	1
M20	Crab	1
M20	Elephant	3
M20	Thrull	1
M20	Scarecrow	1
M20	Bird	8
M20	Boar	1
M20	Warrior	9
M20	Cleric	9
M20	Dwarf	1
M20	Phoenix	1
M20	Vampire	10
M20	Scout	4
M20	Horror	3
M20	Yanling	2
M20	Druid	3
M20	Pirate	4
M20	Zombie	6
M20	Insect	1
M20	Pegasus	3
M20	Rhino	2
M20	Aura	12
M20	Advisor	1
M20	Shaman	4
M20	Berserker	3
M20	Goblin	8
M20	Spirit	8
M20	Bat	1
M20	Scorpion	1
M20	Sphinx	2
M20	Artificer	2
M20	Merfolk	2
M20	Equipment	6
M20	Knight	12
M20	Unicorn	1
M20	Dog	1
M20	Drake	2
M20	Cat	4
M20	Soldier	8
M20	Troll	1
M20	Archer	1
M20	Wolf	2
M20	Construct	2
M20	Ox	1
M20	Treefolk	1
M20	Dragon	5
M20	Octopus	1
M20	Serpent	1
M20	Plains	1
M20	Swamp	1
M20	Ogre	2
M20	Angel	7
M20	Dinosaur	5
M20	Fish	1
M20	Rogue	7
M20	Demon	2
M20	Spider	3
M20	Orc	2
M20	Lizard	2
M20	Crocodile	1
M20	Elk	1
M20	Beast	2
M20	Human	28
M20	Vedalken	1
M20	Chandra	4
M20	Ape	1
M20	Illusion	1
M20	Minotaur	2
ELD	Troll	3
ELD	Mountain	2
ELD	Giant	6
ELD	Golem	2
ELD	Wizard	8
ELD	Elf	7
ELD	Griffin	3
ELD	Construct	3
ELD	Spider	1
ELD	Wolverine	1
ELD	Equipment	8
ELD	Faerie	17
ELD	Rowan	2
ELD	Forest	2
ELD	Elephant	1
ELD	Scarecrow	2
ELD	Bird	2
ELD	Treefolk	2
ELD	Warlock	5
ELD	Noble	13
ELD	Dwarf	3
ELD	Food	2
ELD	Druid	4
ELD	Zombie	2
ELD	Rogue	5
ELD	Snake	1
ELD	Island	2
ELD	Shaman	1
ELD	Merfolk	5
ELD	Berserker	1
ELD	Goblin	5
ELD	Spirit	2
ELD	Oko	2
ELD	Gargoyle	2
ELD	Hydra	2
ELD	Gnome	1
ELD	Artificer	1
ELD	Warrior	5
ELD	Knight	46
ELD	Unicorn	1
ELD	Beast	2
ELD	Dragon	4
ELD	Will	1
ELD	Soldier	2
ELD	Horse	1
ELD	Archer	2
ELD	Wolf	2
ELD	Aura	7
ELD	Ox	1
ELD	Vehicle	1
ELD	Fox	1
ELD	Cat	3
ELD	Skeleton	1
ELD	Turtle	3
ELD	Swamp	2
ELD	Ogre	2
ELD	Serpent	1
ELD	Plains	2
ELD	Wall	3
ELD	Ouphe	1
ELD	Specter	1
ELD	Peasant	5
ELD	Human	61
ELD	Garruk	1
ELD	Archon	2
THB	Mountain	1
THB	Giant	8
THB	God	7
THB	Nightmare	3
THB	Wizard	8
THB	Griffin	1
THB	Elemental	4
THB	Druid	2
THB	Satyr	10
THB	Equipment	4
THB	Forest	1
THB	Vehicle	1
THB	Siren	1
THB	Bird	2
THB	Warrior	8
THB	Cleric	6
THB	Swamp	1
THB	Phoenix	1
THB	Lamia	1
THB	Ashiok	2
THB	Harpy	3
THB	Centaur	5
THB	Zombie	5
THB	Insect	1
THB	Scout	4
THB	Demigod	5
